Unique_ID,Population,Sex,Treatment,Individual,Side,Centroid Size,Log Centroid Size,ProcCoord1,ProcCoord2,ProcCoord3,ProcCoord4,ProcCoord5,ProcCoord6,ProcCoord7,ProcCoord8,ProcCoord9,ProcCoord10,ProcCoord11,ProcCoord12,ProcCoord13,ProcCoord14,ProcCoord15,ProcCoord16,ProcCoord17,ProcCoord18,ProcCoord19,ProcCoord20,ProcCoord21,ProcCoord22,ProcCoord23,ProcCoord24,ProcCoord25,ProcCoord26,ProcCoord27,ProcCoord28,ProcCoord29,ProcCoord30
G9_F_C_11_L,G9,F,C,11,L,2.426552311,0.886471448,0.250745587,0.072470304,0.239173301,0.025252133,0.262901683,-0.006618688,0.206749477,-0.053876107,0.195983679,-0.030666741,0.168906766,0.026707802,0.140996841,0.089083047,0.059925654,0.0184546,0.064235134,-0.005914841,-0.093434039,-0.033777916,-0.080832514,-0.105428346,-0.319664807,0.164968636,-0.470821369,0.054603927,-0.455597522,-0.023174839,-0.169267872,-0.19208297
G9_F_C_11_R,G9,F,C,11,R,2.424570633,0.88565445,0.249582527,0.072898976,0.240029125,0.024966884,0.263304849,-0.006397993,0.207148366,-0.054223237,0.198037622,-0.031297469,0.168726101,0.026242506,0.142605749,0.089783815,0.060772123,0.019064125,0.063369598,-0.004685654,-0.09580278,-0.034038666,-0.084637089,-0.10560648,-0.320146053,0.166420176,-0.469501662,0.054067879,-0.452206997,-0.024912713,-0.17128148,-0.192282151
G9_F_C_12_L,G9,F,C,12,L,2.787134302,1.025013936,0.250207458,0.069428833,0.238692475,0.022711408,0.267754418,-0.01086862,0.209765314,-0.052675741,0.19678834,-0.031782892,0.170186487,0.025032895,0.137559558,0.08920765,0.064512189,0.021154638,0.064614708,-0.003870154,-0.09273655,-0.0301933,-0.086756952,-0.098859097,-0.317428052,0.162206262,-0.474021297,0.049984067,-0.454216324,-0.03083734,-0.174921771,-0.180638608
G9_F_C_12_R,G9,F,C,12,R,2.797936783,1.028882282,0.248522928,0.069214122,0.239138688,0.022769624,0.267315335,-0.01072403,0.207760793,-0.053421117,0.195237588,-0.031409573,0.169516609,0.024660183,0.137422112,0.088790483,0.063957141,0.020337582,0.06684881,-0.004703773,-0.085434654,-0.030457397,-0.086627007,-0.0996547,-0.321771746,0.162344142,-0.475362363,0.049606136,-0.45589469,-0.027524274,-0.170629544,-0.179827408
G9_F_C_13_L,G9,F,C,13,L,2.481273196,0.908771814,0.250226658,0.064609141,0.239658793,0.018926907,0.265659777,-0.013154623,0.210285377,-0.053152,0.200286658,-0.032790702,0.164543188,0.023606023,0.134656734,0.088001238,0.068087902,0.019849532,0.06783433,-0.001479222,-0.09173572,-0.026724107,-0.081181188,-0.087990291,-0.316406615,0.163614983,-0.482668298,0.043001696,-0.45586689,-0.034719964,-0.173380706,-0.17159861
G9_F_C_13_R,G9,F,C,13,R,2.490713738,0.912569311,0.24933782,0.067704691,0.239320187,0.021424339,0.266795752,-0.011070702,0.211933809,-0.052956559,0.197889702,-0.031996049,0.165791666,0.022074191,0.134261109,0.08797149,0.064845629,0.018707956,0.066018622,-0.003451533,-0.093055893,-0.030075216,-0.078918349,-0.093531722,-0.31786502,0.163932891,-0.479807066,0.044348728,-0.456758866,-0.027010752,-0.169789104,-0.176071753
G9_F_C_14_L,G9,F,C,14,L,2.52523779,0.926335232,0.250784279,0.06822022,0.239390527,0.022226455,0.270858114,-0.0090488,0.213179261,-0.051432337,0.203742672,-0.030554922,0.168755911,0.024956402,0.135681973,0.086604815,0.05730269,0.019729498,0.058059203,-0.005245655,-0.091263121,-0.029484048,-0.086437893,-0.095138287,-0.313202177,0.159077303,-0.474988862,0.048565646,-0.455538303,-0.028575268,-0.176324273,-0.179901021
G9_F_C_14_R,G9,F,C,14,R,2.518801594,0.92378323,0.253612417,0.070109229,0.242299321,0.022026104,0.270565928,-0.010522267,0.210193315,-0.051676629,0.198630665,-0.032685142,0.167221269,0.024214412,0.140052793,0.085428932,0.058058586,0.020813168,0.059183414,-0.003745505,-0.092974094,-0.029153118,-0.090434626,-0.094762232,-0.31655903,0.159708458,-0.475836949,0.045865032,-0.453950571,-0.027321342,-0.170062437,-0.1782991
G9_F_C_15_L,G9,F,C,15,L,2.789498995,1.025862008,0.249925527,0.069718477,0.235915455,0.021189432,0.263146347,-0.011930112,0.205007051,-0.056286574,0.19322152,-0.031233373,0.16634029,0.02551054,0.140354691,0.089172699,0.070498407,0.020680451,0.071969673,-0.002746013,-0.084494304,-0.027697801,-0.081333307,-0.098292264,-0.324097394,0.163746483,-0.477384142,0.046271481,-0.455859401,-0.02709705,-0.173210414,-0.181006375
G9_F_C_15_R,G9,F,C,15,R,2.792886736,1.027075733,0.249746549,0.068748537,0.240359662,0.021533726,0.263425084,-0.01241167,0.204016256,-0.056071103,0.194171251,-0.032963008,0.166897868,0.02493601,0.138826291,0.090857137,0.070380611,0.020881602,0.071801897,-0.002309478,-0.092134227,-0.026820694,-0.078180364,-0.096057214,-0.320562329,0.16140457,-0.477700507,0.043828185,-0.456896514,-0.026696965,-0.174151528,-0.178859633
